district_name,submission_date,grievance_text,submitted_by,year,resolved,did,cat_grievance_text
Bhubaneswar,2020-05-08,Internet not working in the computer lab for over a month.,Chinmayee Nayak,2020,0.0,0031,Internet not working
Bhubaneswar,2020-05-11,Lab equipment is broken and no replacement has been provided.,Mamata Barik,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-05-14,"Hostel conditions are very poor, water supply is irregular.",Rashmi Rekha,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-05-16,"Grievance was registered last month, no action yet.",Pratyush Swain,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-05-22,No practical classes being conducted for welding program.,Lalitendu Panda,2020,0.0,0031,No practical classes
Bhubaneswar,2020-05-24,"Hostel conditions are very poor, water supply is irregular.",Lipika Das,2020,1.0,0031,Poor water supply
Bhubaneswar,2020-05-26,Students are asked to arrange their own materials for practice.,Pratyush Swain,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-05-26,Students are asked to arrange their own materials for practice.,Sangram Behera,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-05-29,Internet not working in the computer lab for over a month.,Sasmita Rout,2020,1.0,0031,Internet not working
Bhubaneswar,2020-05-31,"Hostel conditions are very poor, water supply is irregular.",Chinmayee Nayak,2020,1.0,0031,Poor water supply
Bhubaneswar,2020-05-31,Lab equipment is broken and no replacement has been provided.,Sangram Behera,2020,1.0,0031,Broken lab equipment
Bhubaneswar,2020-05-31,Trainer has not come to the institute for the past two weeks.,Subhashree Sahoo,2020,1.0,0031,Trainer absence
Bhubaneswar,2020-06-01,"Grievance was registered last month, no action yet.",Chinmayee Nayak,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-06-06,Stipend not credited for the last three months.,Sangram Behera,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-06-08,"Grievance was registered last month, no action yet.",Rashmi Rekha,2020,1.0,0031,"No action, past month"
Bhubaneswar,2020-06-09,Only one instructor for three different trades.,Sasmita Rout,2020,1.0,0031,Unique instructor
Bhubaneswar,2020-06-10,Trainer has not come to the institute for the past two weeks.,Chinmayee Nayak,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-06-13,Trainer has not come to the institute for the past two weeks.,Chinmayee Nayak,2020,1.0,0031,Trainer absence
Bhubaneswar,2020-06-17,No practical classes being conducted for welding program.,Mamata Barik,2020,0.0,0031,No practical classes
Bhubaneswar,2020-06-18,Stipend not credited for the last three months.,Satyajit Jena,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-06-20,Students are asked to arrange their own materials for practice.,Mamata Barik,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-06-20,Students are asked to arrange their own materials for practice.,Satyajit Jena,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-06-21,No practical classes being conducted for welding program.,Mamata Barik,2020,1.0,0031,No practical classes
Bhubaneswar,2020-06-24,Students are asked to arrange their own materials for practice.,Manas Ranjan,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-06-24,Students are asked to arrange their own materials for practice.,Rashmi Rekha,2020,1.0,0031,Students arrange own materials
Bhubaneswar,2020-06-26,Stipend not credited for the last three months.,Chinmayee Nayak,2020,1.0,0031,Stipend not credited
Bhubaneswar,2020-06-27,"Hostel conditions are very poor, water supply is irregular.",Manas Ranjan,2020,1.0,0031,Poor water supply
Bhubaneswar,2020-06-29,Trainer has not come to the institute for the past two weeks.,Sangram Behera,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-06-30,Internet not working in the computer lab for over a month.,Manas Ranjan,2020,1.0,0031,Internet not working
Bhubaneswar,2020-07-01,Trainer has not come to the institute for the past two weeks.,Rashmi Rekha,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-07-02,"Hostel conditions are very poor, water supply is irregular.",Manas Ranjan,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-07-05,"Hostel conditions are very poor, water supply is irregular.",Mamata Barik,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-07-06,Stipend not credited for the last three months.,Rashmi Rekha,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-07-07,"Hostel conditions are very poor, water supply is irregular.",Sasmita Rout,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-07-09,Internet not working in the computer lab for over a month.,Lalitendu Panda,2020,0.0,0031,Internet not working
Bhubaneswar,2020-07-10,"Hostel conditions are very poor, water supply is irregular.",Sangram Behera,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-07-11,Students are asked to arrange their own materials for practice.,Manas Ranjan,2020,1.0,0031,Students arrange own materials
Bhubaneswar,2020-07-12,No practical classes being conducted for welding program.,Lipika Das,2020,0.0,0031,No practical classes
Bhubaneswar,2020-07-13,"Hostel conditions are very poor, water supply is irregular.",Mamata Barik,2020,1.0,0031,Poor water supply
Bhubaneswar,2020-07-13,Only one instructor for three different trades.,Lipika Das,2020,1.0,0031,Unique instructor
Bhubaneswar,2020-07-15,Trainer has not come to the institute for the past two weeks.,Subhashree Sahoo,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-07-16,Lab equipment is broken and no replacement has been provided.,Pratyush Swain,2020,1.0,0031,Broken lab equipment
Bhubaneswar,2020-07-16,Only one instructor for three different trades.,Lalitendu Panda,2020,1.0,0031,Unique instructor
Bhubaneswar,2020-07-17,Lab equipment is broken and no replacement has been provided.,Mamata Barik,2020,1.0,0031,Broken lab equipment
Bhubaneswar,2020-07-19,Electricity is not available during class hours.,Pratyush Swain,2020,0.0,0031,Lack of electricity
Bhubaneswar,2020-07-19,"Grievance was registered last month, no action yet.",Manas Ranjan,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-07-20,Stipend not credited for the last three months.,Sasmita Rout,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-07-25,No practical classes being conducted for welding program.,Pratyush Swain,2020,1.0,0031,No practical classes
Bhubaneswar,2020-07-29,No practical classes being conducted for welding program.,Sasmita Rout,2020,1.0,0031,No practical classes
Bhubaneswar,2020-07-30,Trainer has not come to the institute for the past two weeks.,Sasmita Rout,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-07-31,"Hostel conditions are very poor, water supply is irregular.",Lalitendu Panda,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-07-31,Only one instructor for three different trades.,Sangram Behera,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-08-02,Electricity is not available during class hours.,Sangram Behera,2020,0.0,0031,Lack of electricity
Bhubaneswar,2020-08-02,No practical classes being conducted for welding program.,Rashmi Rekha,2020,0.0,0031,No practical classes
Bhubaneswar,2020-08-05,Trainer has not come to the institute for the past two weeks.,Bikash Mohanty,2020,1.0,0031,Trainer absence
Bhubaneswar,2020-08-06,Stipend not credited for the last three months.,Manas Ranjan,2020,1.0,0031,Stipend not credited
Bhubaneswar,2020-08-09,"Hostel conditions are very poor, water supply is irregular.",Sangram Behera,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-08-09,Students are asked to arrange their own materials for practice.,Sangram Behera,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-08-10,Electricity is not available during class hours.,Lalitendu Panda,2020,1.0,0031,Lack of electricity
Bhubaneswar,2020-08-11,Internet not working in the computer lab for over a month.,Lalitendu Panda,2020,0.0,0031,Internet not working
Bhubaneswar,2020-08-11,Lab equipment is broken and no replacement has been provided.,Chinmayee Nayak,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-08-12,Stipend not credited for the last three months.,Rashmi Rekha,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-08-15,Students are asked to arrange their own materials for practice.,Chinmayee Nayak,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-08-17,Only one instructor for three different trades.,Satyajit Jena,2020,1.0,0031,Unique instructor
Bhubaneswar,2020-08-18,Trainer has not come to the institute for the past two weeks.,Lipika Das,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-08-19,Only one instructor for three different trades.,Sasmita Rout,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-08-19,Students are asked to arrange their own materials for practice.,Satyajit Jena,2020,1.0,0031,Students arrange own materials
Bhubaneswar,2020-08-20,"Grievance was registered last month, no action yet.",Lalitendu Panda,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-08-20,"Grievance was registered last month, no action yet.",Sangram Behera,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-08-20,Internet not working in the computer lab for over a month.,Manas Ranjan,2020,0.0,0031,Internet not working
Bhubaneswar,2020-08-20,Only one instructor for three different trades.,Lipika Das,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-08-21,Internet not working in the computer lab for over a month.,Satyajit Jena,2020,1.0,0031,Internet not working
Bhubaneswar,2020-08-22,"Hostel conditions are very poor, water supply is irregular.",Sangram Behera,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-08-22,Lab equipment is broken and no replacement has been provided.,Lipika Das,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-08-25,Lab equipment is broken and no replacement has been provided.,Subhashree Sahoo,2020,1.0,0031,Broken lab equipment
Bhubaneswar,2020-08-28,No practical classes being conducted for welding program.,Subhashree Sahoo,2020,0.0,0031,No practical classes
Bhubaneswar,2020-08-28,Only one instructor for three different trades.,Rashmi Rekha,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-08-30,Internet not working in the computer lab for over a month.,Bikash Mohanty,2020,0.0,0031,Internet not working
Bhubaneswar,2020-09-02,"Hostel conditions are very poor, water supply is irregular.",Pratyush Swain,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-09-02,Lab equipment is broken and no replacement has been provided.,Sasmita Rout,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-09-05,"Grievance was registered last month, no action yet.",Lipika Das,2020,1.0,0031,"No action, past month"
Bhubaneswar,2020-09-05,Lab equipment is broken and no replacement has been provided.,Chinmayee Nayak,2020,1.0,0031,Broken lab equipment
Bhubaneswar,2020-09-05,No practical classes being conducted for welding program.,Lalitendu Panda,2020,0.0,0031,No practical classes
Bhubaneswar,2020-09-08,No practical classes being conducted for welding program.,Sasmita Rout,2020,1.0,0031,No practical classes
Bhubaneswar,2020-09-08,Stipend not credited for the last three months.,Bikash Mohanty,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-09-09,Trainer has not come to the institute for the past two weeks.,Rashmi Rekha,2020,1.0,0031,Trainer absence
Bhubaneswar,2020-09-12,Students are asked to arrange their own materials for practice.,Lipika Das,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-09-13,Students are asked to arrange their own materials for practice.,Subhashree Sahoo,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-09-17,Internet not working in the computer lab for over a month.,Bikash Mohanty,2020,0.0,0031,Internet not working
Bhubaneswar,2020-09-17,No practical classes being conducted for welding program.,Subhashree Sahoo,2020,1.0,0031,No practical classes
Bhubaneswar,2020-09-19,"Hostel conditions are very poor, water supply is irregular.",Lipika Das,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-09-20,"Hostel conditions are very poor, water supply is irregular.",Chinmayee Nayak,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-09-23,Students are asked to arrange their own materials for practice.,Lipika Das,2020,1.0,0031,Students arrange own materials
Bhubaneswar,2020-09-27,Students are asked to arrange their own materials for practice.,Sangram Behera,2020,1.0,0031,Students arrange own materials
Bhubaneswar,2020-09-29,Only one instructor for three different trades.,Pratyush Swain,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-10-03,Electricity is not available during class hours.,Manas Ranjan,2020,0.0,0031,Lack of electricity
Bhubaneswar,2020-10-03,Lab equipment is broken and no replacement has been provided.,Satyajit Jena,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-10-04,"Hostel conditions are very poor, water supply is irregular.",Rashmi Rekha,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-10-07,Lab equipment is broken and no replacement has been provided.,Mamata Barik,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-10-09,Electricity is not available during class hours.,Chinmayee Nayak,2020,0.0,0031,Lack of electricity
Bhubaneswar,2020-10-10,"Grievance was registered last month, no action yet.",Sasmita Rout,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-10-10,"Hostel conditions are very poor, water supply is irregular.",Pratyush Swain,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-10-10,Only one instructor for three different trades.,Manas Ranjan,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-10-11,"Grievance was registered last month, no action yet.",Manas Ranjan,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-10-11,Trainer has not come to the institute for the past two weeks.,Manas Ranjan,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-10-12,Electricity is not available during class hours.,Pratyush Swain,2020,1.0,0031,Lack of electricity
Bhubaneswar,2020-10-12,No practical classes being conducted for welding program.,Sasmita Rout,2020,0.0,0031,No practical classes
Bhubaneswar,2020-10-13,Electricity is not available during class hours.,Mamata Barik,2020,0.0,0031,Lack of electricity
Bhubaneswar,2020-10-19,"Grievance was registered last month, no action yet.",Sangram Behera,2020,1.0,0031,"No action, past month"
Bhubaneswar,2020-10-20,Students are asked to arrange their own materials for practice.,Sangram Behera,2020,1.0,0031,Students arrange own materials
Bhubaneswar,2020-10-21,No practical classes being conducted for welding program.,Lipika Das,2020,0.0,0031,No practical classes
Bhubaneswar,2020-10-22,"Grievance was registered last month, no action yet.",Sangram Behera,2020,1.0,0031,"No action, past month"
Bhubaneswar,2020-10-23,Trainer has not come to the institute for the past two weeks.,Satyajit Jena,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-10-25,Lab equipment is broken and no replacement has been provided.,Lipika Das,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-10-26,Lab equipment is broken and no replacement has been provided.,Sangram Behera,2020,1.0,0031,Broken lab equipment
Bhubaneswar,2020-10-26,Only one instructor for three different trades.,Chinmayee Nayak,2020,1.0,0031,Unique instructor
Bhubaneswar,2020-10-28,No practical classes being conducted for welding program.,Sangram Behera,2020,0.0,0031,No practical classes
Bhubaneswar,2020-10-30,No practical classes being conducted for welding program.,Subhashree Sahoo,2020,1.0,0031,No practical classes
Bhubaneswar,2020-10-31,"Hostel conditions are very poor, water supply is irregular.",Mamata Barik,2020,1.0,0031,Poor water supply
Bhubaneswar,2020-10-31,Students are asked to arrange their own materials for practice.,Satyajit Jena,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-11-02,Lab equipment is broken and no replacement has been provided.,Lalitendu Panda,2020,1.0,0031,Broken lab equipment
Bhubaneswar,2020-11-05,Students are asked to arrange their own materials for practice.,Lalitendu Panda,2020,1.0,0031,Students arrange own materials
Bhubaneswar,2020-11-06,Internet not working in the computer lab for over a month.,Lipika Das,2020,0.0,0031,Internet not working
Bhubaneswar,2020-11-10,Electricity is not available during class hours.,Subhashree Sahoo,2020,1.0,0031,Lack of electricity
Bhubaneswar,2020-11-11,Trainer has not come to the institute for the past two weeks.,Bikash Mohanty,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-11-14,"Grievance was registered last month, no action yet.",Subhashree Sahoo,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-11-20,"Grievance was registered last month, no action yet.",Pratyush Swain,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-11-21,Internet not working in the computer lab for over a month.,Manas Ranjan,2020,0.0,0031,Internet not working
Bhubaneswar,2020-11-21,Only one instructor for three different trades.,Chinmayee Nayak,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-11-23,Students are asked to arrange their own materials for practice.,Lalitendu Panda,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-11-25,Trainer has not come to the institute for the past two weeks.,Satyajit Jena,2020,1.0,0031,Trainer absence
Bhubaneswar,2020-11-27,Only one instructor for three different trades.,Bikash Mohanty,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-11-27,Students are asked to arrange their own materials for practice.,Manas Ranjan,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-11-30,"Grievance was registered last month, no action yet.",Lalitendu Panda,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-12-02,"Hostel conditions are very poor, water supply is irregular.",Sangram Behera,2020,1.0,0031,Poor water supply
Bhubaneswar,2020-12-02,Only one instructor for three different trades.,Lipika Das,2020,1.0,0031,Unique instructor
Bhubaneswar,2020-12-07,Internet not working in the computer lab for over a month.,Bikash Mohanty,2020,1.0,0031,Internet not working
Bhubaneswar,2020-12-07,No practical classes being conducted for welding program.,Manas Ranjan,2020,0.0,0031,No practical classes
Bhubaneswar,2020-12-09,Electricity is not available during class hours.,Rashmi Rekha,2020,0.0,0031,Lack of electricity
Bhubaneswar,2020-12-09,"Hostel conditions are very poor, water supply is irregular.",Mamata Barik,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-12-09,No practical classes being conducted for welding program.,Bikash Mohanty,2020,0.0,0031,No practical classes
Bhubaneswar,2020-12-10,Only one instructor for three different trades.,Satyajit Jena,2020,0.0,0031,Unique instructor
Bhubaneswar,2020-12-12,Trainer has not come to the institute for the past two weeks.,Rashmi Rekha,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-12-12,Trainer has not come to the institute for the past two weeks.,Satyajit Jena,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-12-13,Trainer has not come to the institute for the past two weeks.,Lalitendu Panda,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-12-15,Students are asked to arrange their own materials for practice.,Sasmita Rout,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-12-17,Stipend not credited for the last three months.,Sangram Behera,2020,1.0,0031,Stipend not credited
Bhubaneswar,2020-12-18,Lab equipment is broken and no replacement has been provided.,Sangram Behera,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-12-19,"Grievance was registered last month, no action yet.",Rashmi Rekha,2020,1.0,0031,"No action, past month"
Bhubaneswar,2020-12-22,"Hostel conditions are very poor, water supply is irregular.",Lalitendu Panda,2020,0.0,0031,Poor water supply
Bhubaneswar,2020-12-22,Lab equipment is broken and no replacement has been provided.,Lipika Das,2020,0.0,0031,Broken lab equipment
Bhubaneswar,2020-12-22,Students are asked to arrange their own materials for practice.,Satyajit Jena,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-12-23,Stipend not credited for the last three months.,Mamata Barik,2020,0.0,0031,Stipend not credited
Bhubaneswar,2020-12-23,Students are asked to arrange their own materials for practice.,Lipika Das,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-12-24,"Grievance was registered last month, no action yet.",Bikash Mohanty,2020,1.0,0031,"No action, past month"
Bhubaneswar,2020-12-25,Trainer has not come to the institute for the past two weeks.,Lipika Das,2020,0.0,0031,Trainer absence
Bhubaneswar,2020-12-26,Students are asked to arrange their own materials for practice.,Pratyush Swain,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2020-12-28,Internet not working in the computer lab for over a month.,Mamata Barik,2020,0.0,0031,Internet not working
Bhubaneswar,2020-12-29,"Grievance was registered last month, no action yet.",Pratyush Swain,2020,0.0,0031,"No action, past month"
Bhubaneswar,2020-12-30,"Hostel conditions are very poor, water supply is irregular.",Pratyush Swain,2020,1.0,0031,Poor water supply
Bhubaneswar,2020-12-30,Students are asked to arrange their own materials for practice.,Lipika Das,2020,0.0,0031,Students arrange own materials
Bhubaneswar,2021-01-01,Students are asked to arrange their own materials for practice.,Satyajit Jena,2021,0.0,0031,Students arrange own materials
Bhubaneswar,2021-01-02,Electricity is not available during class hours.,Pratyush Swain,2021,0.0,0031,Lack of electricity
Bhubaneswar,2021-01-03,Students are asked to arrange their own materials for practice.,Pratyush Swain,2021,1.0,0031,Students arrange own materials
Bhubaneswar,2021-01-07,Stipend not credited for the last three months.,Pratyush Swain,2021,1.0,0031,Stipend not credited
Bhubaneswar,2021-01-08,Electricity is not available during class hours.,Sasmita Rout,2021,0.0,0031,Lack of electricity
Bhubaneswar,2021-01-08,Only one instructor for three different trades.,Mamata Barik,2021,0.0,0031,Unique instructor
Bhubaneswar,2021-01-08,Students are asked to arrange their own materials for practice.,Manas Ranjan,2021,0.0,0031,Students arrange own materials
Bhubaneswar,2021-01-09,Electricity is not available during class hours.,Manas Ranjan,2021,0.0,0031,Lack of electricity
Bhubaneswar,2021-01-10,Electricity is not available during class hours.,Bikash Mohanty,2021,1.0,0031,Lack of electricity
Bhubaneswar,2021-01-10,Electricity is not available during class hours.,Chinmayee Nayak,2021,0.0,0031,Lack of electricity
Bhubaneswar,2021-01-10,Electricity is not available during class hours.,Lalitendu Panda,2021,0.0,0031,Lack of electricity
Bhubaneswar,2021-01-14,Lab equipment is broken and no replacement has been provided.,Pratyush Swain,2021,0.0,0031,Broken lab equipment
Bhubaneswar,2021-01-19,"Hostel conditions are very poor, water supply is irregular.",Lalitendu Panda,2021,0.0,0031,Poor water supply
Bhubaneswar,2021-01-22,"Grievance was registered last month, no action yet.",Bikash Mohanty,2021,0.0,0031,"No action, past month"
Bhubaneswar,2021-01-23,"Hostel conditions are very poor, water supply is irregular.",Sasmita Rout,2021,0.0,0031,Poor water supply
Bhubaneswar,2021-01-28,No practical classes being conducted for welding program.,Satyajit Jena,2021,0.0,0031,No practical classes
Bhubaneswar,2021-01-31,No practical classes being conducted for welding program.,Mamata Barik,2021,0.0,0031,No practical classes
Bhubaneswar,2021-02-03,Stipend not credited for the last three months.,Lalitendu Panda,2021,1.0,0031,Stipend not credited
Bhubaneswar,2021-02-04,Stipend not credited for the last three months.,Lipika Das,2021,0.0,0031,Stipend not credited
Bhubaneswar,2021-02-06,No practical classes being conducted for welding program.,Chinmayee Nayak,2021,1.0,0031,No practical classes
Bhubaneswar,2021-02-09,Internet not working in the computer lab for over a month.,Satyajit Jena,2021,1.0,0031,Internet not working
Bhubaneswar,2021-02-10,Electricity is not available during class hours.,Sasmita Rout,2021,1.0,0031,Lack of electricity
Bhubaneswar,2021-02-12,Electricity is not available during class hours.,Sasmita Rout,2021,0.0,0031,Lack of electricity
Bhubaneswar,2021-02-12,"Hostel conditions are very poor, water supply is irregular.",Sangram Behera,2021,1.0,0031,Poor water supply
Bhubaneswar,2021-02-13,Only one instructor for three different trades.,Lipika Das,2021,0.0,0031,Unique instructor
Bhubaneswar,2021-02-14,"Hostel conditions are very poor, water supply is irregular.",Lipika Das,2021,0.0,0031,Poor water supply
Bhubaneswar,2021-02-15,"Grievance was registered last month, no action yet.",Sasmita Rout,2021,0.0,0031,"No action, past month"
Bhubaneswar,2021-02-17,Trainer has not come to the institute for the past two weeks.,Sasmita Rout,2021,1.0,0031,Trainer absence
Bhubaneswar,2021-02-19,Internet not working in the computer lab for over a month.,Subhashree Sahoo,2021,1.0,0031,Internet not working
Bhubaneswar,2021-02-20,"Grievance was registered last month, no action yet.",Lalitendu Panda,2021,0.0,0031,"No action, past month"
Bhubaneswar,2021-02-21,"Hostel conditions are very poor, water supply is irregular.",Chinmayee Nayak,2021,1.0,0031,Poor water supply
Bhubaneswar,2021-02-22,"Grievance was registered last month, no action yet.",Sasmita Rout,2021,0.0,0031,"No action, past month"
Bhubaneswar,2021-02-26,Stipend not credited for the last three months.,Manas Ranjan,2021,0.0,0031,Stipend not credited
Bhubaneswar,2021-02-26,Stipend not credited for the last three months.,Pratyush Swain,2021,0.0,0031,Stipend not credited
Bhubaneswar,2021-02-27,Stipend not credited for the last three months.,Lipika Das,2021,0.0,0031,Stipend not credited
Bhubaneswar,2021-02-27,Stipend not credited for the last three months.,Sasmita Rout,2021,1.0,0031,Stipend not credited
Bhubaneswar,2021-03-01,Stipend not credited for the last three months.,Pratyush Swain,2021,0.0,0031,Stipend not credited
Bhubaneswar,2021-03-04,No practical classes being conducted for welding program.,Sasmita Rout,2021,0.0,0031,No practical classes
Bhubaneswar,2021-03-05,Students are asked to arrange their own materials for practice.,Subhashree Sahoo,2021,0.0,0031,Students arrange own materials
Bhubaneswar,2021-03-12,Students are asked to arrange their own materials for practice.,Sangram Behera,2021,0.0,0031,Students arrange own materials
Bhubaneswar,2021-03-15,Electricity is not available during class hours.,Chinmayee Nayak,2021,0.0,0031,Lack of electricity
Bhubaneswar,2021-03-16,"Grievance was registered last month, no action yet.",Rashmi Rekha,2021,0.0,0031,"No action, past month"
Bhubaneswar,2021-03-16,Students are asked to arrange their own materials for practice.,Pratyush Swain,2021,0.0,0031,Students arrange own materials
Bhubaneswar,2021-03-25,"Hostel conditions are very poor, water supply is irregular.",Satyajit Jena,2021,1.0,0031,Poor water supply
